Elapsed time,Overall Response Times
22:41:27.0,896.0
22:41:27.500,290.0
22:41:28.0,820.0
22:41:28.500,592.3333333333334
22:41:29.0,305.0
22:41:29.500,598.8
22:41:30.0,534.25
22:41:30.500,318.5
22:41:31.0,705.2
22:41:31.500,427.375
22:41:32.0,386.6666666666667
22:41:32.500,527.5
22:41:33.0,508.0
22:41:33.500,448.0
22:41:34.0,379.14285714285717
22:41:34.500,658.1428571428571
22:41:35.0,604.0
22:41:35.500,645.5
22:41:36.0,493.6000000000001
22:41:36.500,475.125
22:41:37.0,459.42857142857144
22:41:37.500,593.4444444444445
22:41:38.0,623.5555555555555
22:41:38.500,502.54545454545456
22:41:39.0,506.8666666666667
22:41:39.500,616.7777777777778
22:41:40.0,635.5
22:41:40.500,574.9166666666666
22:41:41.0,568.4615384615385
22:41:41.500,463.8333333333333
22:41:42.0,692.9
22:41:42.500,606.5384615384615
22:41:43.0,668.4375
22:41:43.500,475.70588235294116
22:41:44.0,577.9166666666666
22:41:44.500,511.7142857142857
22:41:45.0,635.6111111111111
22:41:45.500,500.9166666666667
22:41:46.0,520.5000000000001
22:41:46.500,577.8181818181819
22:41:47.0,470.8333333333333
22:41:47.500,547.2608695652174
22:41:48.0,616.6428571428571
22:41:48.500,616.4
22:41:49.0,558.4782608695652
22:41:49.500,473.6818181818182
22:41:50.0,660.1666666666667
22:41:50.500,505.1111111111112
22:41:51.0,498.75
22:41:51.500,551.3181818181819
22:41:52.0,498.4193548387095
22:41:52.500,589.8695652173913
22:41:53.0,490.64
22:41:53.500,515.4230769230769
22:41:54.0,485.25000000000006
22:41:54.500,617.9583333333334
22:41:55.0,594.9545454545454
22:41:55.500,552.0000000000001
22:41:56.0,549.037037037037
22:41:56.500,498.5151515151515
22:41:57.0,503.3333333333333
22:41:57.500,509.8285714285713
22:41:58.0,542.0769230769231
22:41:58.500,591.0740740740742
22:41:59.0,493.93939393939394
22:41:59.500,563.9666666666667
22:42:00.0,605.0344827586207
22:42:00.500,613.3214285714286
22:42:01.0,577.8
22:42:01.500,540.4242424242423
22:42:02.0,501.9677419354837
22:42:02.500,561.0606060606059
22:42:03.0,542.7894736842105
22:42:03.500,626.1851851851852
22:42:04.0,518.2307692307693
22:42:04.500,551.0967741935485
22:42:05.0,625.848484848485
22:42:05.500,587.5882352941177
22:42:06.0,526.3157894736842
22:42:06.500,537.8536585365852
22:42:07.0,528.8484848484849
22:42:07.500,566.0555555555555
22:42:08.0,583.5365853658536
22:42:08.500,561.7352941176471
22:42:09.0,583.1860465116279
22:42:09.500,553.34375
22:42:10.0,501.4693877551023
22:42:10.500,529.4736842105265
22:42:11.0,539.785714285714
22:42:11.500,588.9736842105264
22:42:12.0,529.1590909090909
22:42:12.500,511.82608695652175
22:42:13.0,543.5714285714287
22:42:13.500,530.6097560975609
22:42:14.0,544.9423076923075
22:42:14.500,549.1282051282055
22:42:15.0,530.2127659574465
22:42:15.500,562.0487804878051
22:42:16.0,527.5714285714284
22:42:16.500,582.4893617021276
22:42:17.0,567.2857142857143
22:42:17.500,628.3181818181821
22:42:18.0,573.9473684210526
22:42:18.500,623.7777777777777
22:42:19.0,612.5675675675676
22:42:19.500,571.4186046511626
22:42:20.0,608.4418604651161
22:42:20.500,557.55
22:42:21.0,540.9245283018868
22:42:21.500,504.6595744680851
22:42:22.0,560.2558139534884
22:42:22.500,575.0000000000001
22:42:23.0,541.3541666666666
22:42:23.500,542.0500000000001
22:42:24.0,550.3750000000001
22:42:24.500,503.26829268292664
22:42:25.0,593.2916666666669
22:42:25.500,564.0425531914893
22:42:26.0,498.2083333333333
22:42:26.500,566.7446808510638
22:42:27.0,493.3488372093023
22:42:27.500,654.775
22:42:28.0,786.8421052631579
